id_tarjeta,id_cliente,tipo_tarjeta,emisor,categoria_tarjeta,limite_credito,estado_tarjeta,fecha_emision
TAR009166,CLI002789,Crédito,Mastercard,Clásica,472108.00,Activa,2022-05-26
TAR000244,CLI001541,Crédito,American Express,Oro,1451120.72,Activa,2025-12-13
TAR004003,CLI002413,Crédito,Mastercard,Oro,815734.17,Activa,2022-08-22
TAR001284,CLI004248,Crédito,American Express,Clásica,282567.01,Activa,2024-07-25
TAR009065,CLI007339,Crédito,Mastercard,Platino,3211044.45,Activa,2023-10-27
TAR005815,CLI006473,Débito,American Express,Platino,3648318.80,Activa,2021-10-30
TAR004389,CLI007432,Crédito,Visa,Oro,670572.04,Activa,2019-08-22
TAR007791,CLI003806,Crédito,American Express,Clásica,434038.66,Activa,2025-10-24
TAR007218,CLI004911,Crédito,Mastercard,Platino,2745109.42,Inactiva,2023-02-20
TAR003819,CLI001839,Crédito,Visa,Clásica,448253.27,Activa,2022-10-26
TAR003815,CLI000625,Débito,american express,Oro,1040839.30,Activa,2024-06-30
TAR007910,CLI006451,Crédito,American Express,Platino,2950632.57,Activa,2025-08-29
TAR001087,CLI002699,Débito,Visa,Oro,756649.60,Activa,2016-07-13
TAR006422,CLI007940,Crédito,American Express,Clásica,316274.11,Inactiva,2024-01-17
TAR002874,CLI006412,Crédito,American Express,Clásica,380587.54,Activa,2017-09-14
TAR004071,CLI007966,Crédito,Mastercard,Clásica,472869.74,Activa,2018-08-08
TAR007100,CLI007014,Débito,American Express,Clásica,240214.85,Activa,2020-09-27
TAR008459,CLI004678,Débito,Visa,Oro,579808.92,Activa,2017-10-09
TAR003616,CLI004992,Crédito,American Express,Oro,663944.26,Inactiva,2016-12-08
TAR009023,CLI005358,Crédito,American Express,Oro,1483797.67,Inactiva,2024-09-22
TAR004454,CLI002491,Crédito,Visa,Clásica,355659.65,Activa,2021-02-01
TAR003259,CLI001041,Débito,American Express,Clásica,212212.14,Activa,2016-11-04
TAR006686,CLI007110,Débito,Visa,Clásica,108216.11,Activa,2019-03-08
TAR000669,CLI000151,Crédito,American Express,Clásica,331310.41,Activa,2019-10-10
TAR001881,CLI001354,Crédito,Mastercard,Oro,1018827.45,Activa,2021-07-21
TAR004429,CLI003087,Crédito,American Express,Clásica,386850.15,Activa,2024-06-09
TAR009538,CLI000326,Crédito,American Express,Platino,1979387.92,Activa,2026-02-05
TAR001523,CLI003561,Crédito,American Express,Platino,1820718.51,Inactiva,2024-03-29
TAR005795,CLI007908,Crédito,Visa,Platino,3918495.14,Activa,2020-06-13
TAR007410,CLI001331,Crédito,Mastercad,Clásica,360056.82,Activa,2017-04-05
TAR005015,CLI004571,Débito,Visa,Clásica,438636.04,Activa,2016-09-27
TAR007602,CLI007423,Crédito,American Express,Clásica,212391.57,Activa,2026-04-10
TAR004931,CLI006213,Crédito,Mastercard,Platino,2491418.00,Activa,2016-08-20
TAR006171,CLI001901,Crédito,American Express,Clásica,135251.36,Activa,2023-09-05
TAR007388,CLI001624,Débito,American Express,Clásica,388662.04,Activa,2016-12-02
TAR002563,CLI007550,Crédito,Visa,Platino,1787281.67,Activa,2025-03-31
TAR001547,CLI006725,Crédito,Visa,Black,6113226.21,Activa,2022-01-01
TAR003987,CLI004840,Crédito,American Express,Oro,620946.94,Activa,2016-08-20
TAR006165,CLI006155,Crédito,Visa,Clásica,294650.09,Activa,2017-12-23
TAR005102,CLI002186,Crédito,Mastercard,Clásica,422862.00,Activa,2026-01-22
TAR002403,CLI006046,Crédito,American Express,Clásica,112530.08,Activa,2016-07-24
TAR004681,CLI002816,Débito,Mastercard,Clásica,410021.14,Activa,2019-01-27
TAR001551,CLI007789,Crédito,Mastercard,Clásica,179576.23,Inactiva,2023-12-07
TAR009770,CLI001694,Crédito,American Express,Platino,2319214.42,Activa,2023-01-27
TAR003028,CLI006391,Crédito,American Express,Clásica,354159.64,Activa,2017-10-13
TAR009952,CLI007170,Crédito,Visa,Oro,1393217.02,Activa,2018-06-17
TAR004487,CLI002149,Crédito,American Express,Clásica,346251.73,Activa,2024-03-04
TAR009608,CLI000731,Crédito, Mastercard,Clásica,116023.32,Activa,2019-10-22
TAR006943,CLI000390,Crédito,Mastercard,Clásica,433056.10,Activa,2017-11-18
TAR009256,CLI003359,Crédito,Visa,Oro,1139729.18,Activa,2026-05-14
TAR001467,CLI007608,Débito, Visa,Platino,1668719.39,Activa,2022-07-28
TAR008455,CLI007249,Débito,Visa,Oro,1326535.47,Activa,2022-10-25
TAR007682,CLI001876,Crédito,American Express,Oro,1364283.99,Activa,2019-04-23
TAR006190,CLI001897,Crédito,Mastercard,Oro,1176968.06,Activa,2022-05-20
TAR009868,CLI000894,Débito,Mastercard,Clásica,122692.52,Inactiva,2024-10-15
TAR000709,CLI000921,Crédito,American Express,Platino,2246340.64,Inactiva,2026-05-21
TAR007995,CLI004423,Crédito,American Express,Clásica,208395.08,Inactiva,2022-09-24
TAR007136,CLI007582,Débito,Mastercard,Clásica,120878.20,Activa,2023-10-28
TAR003731,CLI003650,Crédito,American Express,Platino,3375006.41,Activa,2025-02-07
TAR004932,CLI005484,Crédito,American Express,Clásica,305404.08,Activa,2021-04-11
TAR006421,CLI007575,Débito,visa,Platino,3157479.84,Activa,2020-02-02
TAR003231,CLI000831,Crédito,Visa,Clásica,145529.91,Activa,2025-12-14
TAR009087,CLI000799,Crédito,Mastercard,Platino,3388806.75,Inactiva,2025-02-07
TAR001884,CLI005041,Crédito,Visa,Oro,1175567.91,Activa,2021-01-22
TAR000025,CLI007706,Crédito,Mastercard,Oro,522973.58,Inactiva,2017-11-13
TAR002445,CLI002236,Crédito,American Express,Clásica,438503.27,Activa,2020-01-17
TAR008571,CLI006529,Crédito,American Express,Oro,1215224.13,Activa,2021-12-28
TAR006631,CLI007006,Crédito,Mastercard,Clásica,330624.15,Activa,2019-05-11
TAR008071,CLI000334,Crédito,Mastercard,Platino,3713740.42,Activa,2024-06-18
TAR000654,CLI007417,Crédito,Mastercard,Oro,1196042.58,Activa,2016-06-30
TAR007552,CLI006799,Crédito,American Express,Clásica,186312.08,Activa,2019-11-23
TAR006844,CLI005770,Débito,American Express,Oro,1352059.03,Activa,2025-08-15
TAR008010,CLI006800,Crédito,American Express,Oro,773281.86,Activa,2019-09-25
TAR004309,CLI003968,Crédito,Mastercard,Clásica,151077.80,Activa,2021-11-16
TAR000374,CLI005361,Crédito,Mastercard,Platino,2441704.13,Activa,2024-09-16
TAR008315,CLI002966,Débito,Mastercard,Clásica,106424.32,Activa,2023-07-17
TAR000015,CLI003580,Crédito,American Express,Clásica,171006.91,Activa,2021-07-01
TAR008915,CLI002881,Crédito,Visa,Clásica,307261.45,Activa,2017-04-14
TAR003038,CLI005027,Débito,Visa,Oro,654670.53,Activa,2022-02-12
TAR005000,CLI003669,Crédito,American Express,Oro,1084797.91,Activa,2018-06-16
TAR003419,CLI005479,Crédito,Mastercad,Clásica,417128.04,Activa,2023-06-12
TAR005216,CLI000489,Crédito,Visa,Platino,2765745.76,Activa,2024-03-07
TAR000942,CLI001600,Crédito,American Express,Black,9167703.34,Activa,2021-02-07
TAR007578,CLI002578,Crédito,Mastercard,Clásica,301023.88,Inactiva,2024-07-12
TAR007309,CLI005188,Crédito,American Express,Oro,661208.33,Activa,2024-08-20
TAR008666,CLI006208,Crédito,Mastercard,Platino,2550476.05,Activa,2021-10-11
TAR004103,CLI000688,Crédito,Mastercard,Clásica,279494.25,Activa,2020-04-22
TAR006999,CLI006380,Crédito,Mastercard,Clásica,485017.80,Activa,2021-09-12
TAR009686,CLI004734,Débito,American Express,Clásica,361171.00,Activa,2020-06-29
TAR005323,CLI003359,Crédito,Visa,Clásica,147904.96,Activa,2025-05-10
TAR009678,CLI002125,Crédito,Mastercad,Clásica,254767.65,Activa,2019-06-01
TAR001737,CLI000828,Débito,Visa,Clásica,367968.90,Inactiva,2022-06-25
TAR004115,CLI003130,Crédito,Mastercard,Clásica,462674.35,Inactiva,2025-03-26
TAR004601,CLI001225,Crédito,American Express,Platino,2200514.64,Activa,2018-10-14
TAR008720,CLI005848,Crédito,American Express,Oro,1195241.83,Activa,2018-05-22
TAR004583,CLI001269,Crédito,American Express,Clásica,142523.30,Inactiva,2021-12-19
TAR002410,CLI002855,Débito,American Express,Clásica,223177.88,Activa,2025-01-27
TAR000207,CLI007845,Débito,Mastercard,Clásica,473176.22,Inactiva,2018-08-03
TAR004753,CLI002153,Crédito,Visa,Clásica,487338.71,Activa,2017-10-30
TAR008937,CLI006983,Crédito,American Express,Oro,1233670.97,Activa,2021-06-13
TAR007173,CLI000056,Débito,Visa,Clásica,281855.89,Activa,2025-05-31
TAR000799,CLI007361,Crédito,Mastercad,Clásica,369975.44,Activa,2021-05-26
TAR004112,CLI003039,Crédito,American Express,Platino,2727698.32,Activa,2024-11-11
TAR006342,CLI002101,Débito,Visa,Oro,1088458.07,Activa,2018-04-16
TAR003459,CLI007967,Crédito,Mastercad,Platino,3598598.44,Activa,2026-02-23
TAR004191,CLI007392,Débito,Visa,Oro,754986.94,Activa,2018-07-10
TAR000261,CLI004756,Débito,Visa,Platino,2532291.14,Activa,2021-12-14
TAR003983,CLI004276,Débito,Mastercard,Oro,668821.22,Activa,2024-03-12
TAR008419,CLI007292,Crédito,American Express,Clásica,258900.07,Activa,2019-12-18
TAR000586,CLI000710,Crédito,American Express,Oro,706193.04,Activa,2017-10-31
TAR006823,CLI006032,Crédito,Visa,Oro,1117981.48,Activa,2025-08-09
TAR001982,CLI000352,Crédito,Visa,Oro,1234766.70,Inactiva,2017-09-27
TAR006024,CLI001466,Crédito,Visa,Clásica,400259.27,Activa,2020-04-12
TAR001861,CLI000333,Crédito,American Express,Clásica,273017.71,Activa,2023-12-06
TAR000575,CLI001146,Débito,Visa,Platino,2309903.18,Inactiva,2022-05-28
TAR000561,CLI003654,Crédito,Visa,Platino,3061140.33,Inactiva,2017-02-03
TAR009540,CLI002860,Crédito,Visa,Platino,2539269.64,Activa,2023-07-28
TAR004593,CLI001323,Crédito,Visa,Clásica,470267.04,Activa,2019-04-17
TAR005987,CLI005574,Crédito,American Express,Platino,2240651.45,Activa,2023-10-29
TAR000105,CLI002638,Crédito,Visa,Oro,1472235.19,Activa,2022-05-15
TAR008409,CLI006321,Débito,Visa,Oro,782737.65,Activa,2026-02-06
TAR006725,CLI006970,Crédito,Mastercard,Platino,3542855.08,Activa,2017-09-13
TAR007712,CLI001304,Crédito,Mastercard,Oro,632044.68,Inactiva,2019-11-20
TAR005903,CLI006028,Crédito,Visa,Clásica,159048.35,Activa,2020-11-18
TAR006927,CLI001776,Crédito,Mastercard,Clásica,166300.35,Inactiva,2017-04-24
TAR003630,CLI000353,Débito,Visa,Oro,1030808.08,Activa,2025-10-20
TAR008320,CLI003943,Crédito,Visa,Oro,771270.68,Activa,2020-02-13
TAR007317,CLI002540,Crédito,American Express,Clásica,424895.89,Activa,2022-08-25
TAR001154,CLI003133,Débito,Visa,Oro,809569.09,Activa,2022-12-29
TAR003244,CLI003304,Débito,American Express,Oro,906696.56,Activa,2019-09-13
TAR004617,CLI001318,Crédito,Visa,Clásica,334245.34,Inactiva,2021-06-30
TAR004284,CLI005482,Crédito,American Express,Oro,700900.61,Activa,2024-06-10
TAR007859,CLI004975,Crédito,Visa,Clásica,145804.56,Activa,2025-09-06
TAR003654,CLI002335,Débito,Visa,Oro,1270733.88,Activa,2017-07-28
TAR008516,CLI004346,Débito,Mastercard,Clásica,257273.65,Activa,2019-08-10
TAR003922,CLI001352,Débito,Mastercard,Clásica,212830.35,Activa,2022-03-16
TAR003897,CLI000381,Crédito,American Express,Clásica,125042.64,Activa,2023-02-14
TAR009121,CLI001545,Crédito,Mastercard,Clásica,162680.55,Activa,2022-12-18
TAR007899,CLI007229,Crédito,American Express,Oro,1469429.30,Activa,2018-11-11
TAR001669,CLI003770,Débito,Mastercard,Oro,518775.28,Activa,2025-04-16
TAR009545,CLI006419,Débito,American Express,Clásica,131082.31,Activa,2023-03-14
TAR003098,CLI002609,Crédito,American Express,Clásica,263377.89,Activa,2017-06-18
TAR004665,CLI007120,Débito,Mastercard,Platino,3061733.88,Activa,2017-09-09
TAR001765,CLI003266,Débito,American Express,Clásica,268746.26,Activa,2019-08-20
TAR007424,CLI006002,Débito,Visa,Oro,507271.02,Activa,2025-07-21
TAR002488,CLI003878,Débito,Visa,Clásica,262033.79,Inactiva,2026-04-18
TAR009461,CLI002381,Crédito,American Express,Clásica,380695.92,Activa,2023-12-20
TAR008748,CLI002317,Crédito,Visa,Clásica,488182.83,Activa,2025-05-31
TAR002902,CLI000127,Crédito,Visa,Oro,1151799.84,Inactiva,2026-03-14
TAR001798,CLI007220,Débito,Mastercad,Clásica,297664.43,Activa,2021-10-10
TAR002778,CLI003703,Crédito,Visa,Oro,522397.98,Activa,2021-05-09
TAR002746,CLI005918,Crédito,Visa,Platino,3556685.72,Activa,2025-12-30
TAR005963,CLI006170,Crédito,Visa,Clásica,192352.96,Activa,2017-05-18
TAR009478,CLI004346,Crédito,Visa,Clásica,126233.14,Activa,2022-12-18
TAR006885,CLI003128,Crédito,American Express,Oro,961972.76,Activa,2018-05-25
TAR003542,CLI007090,Crédito,American Express,Clásica,488786.10,Activa,2022-11-01
TAR007247,CLI003640,Débito,Visa,Platino,3814199.61,Inactiva,2025-10-03
TAR001908,CLI002851,Crédito,American Express,Platino,1952638.01,Activa,2019-10-18
TAR008164,CLI004929,Crédito,American Express,Black,9002409.79,Activa,2024-10-26
TAR006524,CLI007144,Crédito,American Express,Clásica,457719.76,Activa,2021-05-07
TAR002096,CLI003619,Débito,Mastercard,Clásica,434334.48,Activa,2016-12-05
TAR009031,CLI004587,Débito,Visa,Clásica,183616.15,Inactiva,2021-11-25
TAR004688,CLI003614,Crédito,Mastercard,Oro,644764.95,Activa,2019-06-20
TAR007357,CLI005271,Crédito,American Express,Oro,1082655.56,Activa,2023-08-28
TAR008190,CLI002661,Crédito,Visa,Platino,1944580.74,Activa,2024-04-20
TAR009780,CLI002052,Débito,Visa,Clásica,120894.31,Inactiva,2017-06-30
TAR005625,CLI003865,Crédito,Mastercard,Clásica,148026.98,Activa,2025-03-26
TAR000968,CLI005356,Débito,American Express,Oro,852553.86,Activa,2017-09-21
TAR007879,CLI002271,Crédito,American Express,Oro,684106.38,Inactiva,2019-07-28
TAR003741,CLI003842,Crédito,Mastercard,Oro,703477.56,Activa,2022-10-11
TAR000519,CLI000611,Débito,Visa,Clásica,182021.87,Activa,2021-03-30
TAR005848,CLI007065,Crédito,American Express,Platino,3326567.88,Activa,2021-04-10
TAR009691,CLI005811,Débito,Visa,Clásica,399730.96,Activa,2021-05-04
TAR001629,CLI001500,Crédito,Mastercard,Oro,1230943.33,Activa,2025-12-30
TAR001108,CLI007120,Crédito,Visa,Platino,1994896.55,Activa,2025-06-25
TAR007262,CLI007779,Crédito,American Express,Oro,1415960.75,Inactiva,2016-08-19
TAR007039,CLI001751,Débito,Visa,Clásica,119845.60,Activa,2020-04-27
TAR003582,CLI002033,Débito,American Express,Clásica,110523.36,Activa,2023-10-22
TAR001160,CLI007467,Crédito,American Express,Black,7496883.52,Activa,2025-10-02
TAR009655,CLI001627,Crédito,American Express,Clásica,411063.13,Activa,2021-11-06
TAR002317,CLI006147,Crédito,American Express,Clásica,147485.94,Inactiva,2026-03-10
TAR008927,CLI004087,Débito,Visa,Platino,2507949.52,Activa,2018-05-01
TAR004172,CLI003796,Crédito,American Express,Clásica,279811.32,Inactiva,2024-06-09
TAR003951,CLI007762,Débito,Mastercard,Oro,1390961.80,Activa,2017-11-22
TAR008451,CLI001907,Crédito,Mastercard,Clásica,286195.41,Activa,2019-11-07
TAR002798,CLI002034,Crédito,AMERICAN EXPRESS,Clásica,326257.85,Inactiva,2020-05-28
TAR007328,CLI004544,Débito,American Express,Platino,3448143.19,Activa,2016-11-18
TAR009116,CLI007930,Crédito,Mastercad,Platino,1939882.78,Activa,2022-10-30
TAR004205,CLI007684,Débito,Visa,Clásica,244578.69,Activa,2021-02-04
TAR000866,CLI005138,Crédito,American Express,Oro,922684.86,Inactiva,2023-10-14
TAR007076,CLI007289,Crédito,American Express,Platino,2721126.60,Activa,2017-01-18
TAR000368,CLI005165,Débito,American Express,Clásica,395501.30,Activa,2026-02-21
TAR001129,CLI003859,Crédito,American Express,Oro,1302221.89,Activa,2016-07-02
TAR001193,CLI005531,Débito,mastercard,Oro,949854.49,Activa,2020-05-18
TAR002581,CLI007562,Crédito, Visa,Clásica,391409.14,Activa,2018-02-01
TAR008060,CLI007076,Débito,Visa,Clásica,239452.70,Activa,2025-01-16
TAR002474,CLI007815,Débito,Mastercard,Clásica,156215.09,Activa,2024-05-04
TAR006405,CLI003474,Débito,American Express,Clásica,309423.48,Activa,2019-11-05
TAR000049,CLI002086,Crédito,Visa,Platino,3585003.89,Activa,2019-02-27
TAR008426,CLI001212,Crédito,American Express,Platino,3558630.18,Activa,2021-03-10
TAR005786,CLI000029,Crédito,Visa,Oro,1023866.11,Inactiva,2026-01-13
TAR007418,CLI003088,Crédito,Mastercad,Oro,946016.69,Activa,2017-02-13
TAR008772,CLI005334,Crédito,Visa,Oro,627597.34,Activa,2022-08-09
TAR007609,CLI007195,Débito,Visa,Platino,2240271.12,Inactiva,2018-07-15
TAR000857,CLI005950,Crédito,Mastercad,Oro,1499874.32,Activa,2018-03-15
TAR006645,CLI000648,Crédito,Visa,Oro,906412.41,Activa,2026-05-01
TAR004804,CLI005797,Crédito,Visa,Oro,806444.55,Activa,2024-05-24
TAR003176,CLI000023,Crédito,Mastercad,Black,5404150.69,Inactiva,2024-07-09
TAR009680,CLI007801,Crédito,Mastercard,Clásica,487149.30,Activa,2021-09-30
TAR007128,CLI002000,Crédito,Mastercard,Clásica,434599.29,Activa,2025-11-26
TAR001856,CLI002443,Débito,American Express,Clásica,178209.82,Activa,2021-05-15
TAR006712,CLI006932,Débito,Mastercard,Clásica,253300.49,Inactiva,2023-07-11
TAR003880,CLI005351,Crédito,American Express,Clásica,413279.60,Inactiva,2018-06-23
TAR006093,CLI006497,Crédito,Visa,Platino,2949004.03,Activa,2024-08-06
TAR003955,CLI004133,Débito,American Express,Oro,516214.50,Activa,2024-11-30
TAR006113,CLI002302,Crédito,American Express,Platino,3773033.43,Activa,2021-09-13
TAR003134,CLI007210,Crédito,Visa,Platino,3305950.45,Activa,2021-03-28
TAR000664,CLI002701,Débito,American Express,Clásica,334588.68,Activa,2016-09-16
TAR003288,CLI002464,Débito,American Express,Clásica,451048.01,Activa,2019-03-26
TAR002850,CLI002879,Débito,American Express,Clásica,289807.90,Activa,2024-10-01
TAR008384,CLI003440,Débito,American Express,Platino,2693421.46,Inactiva,2017-05-13
TAR009213,CLI000267,Crédito,Mastercard,Clásica,402442.27,Activa,2019-01-30
TAR003602,CLI007252,Débito,Mastercad,Clásica,448864.88,Activa,2019-05-24
TAR005406,CLI001416,Crédito,Visa,Oro,1412304.12,Inactiva,2017-07-30
TAR005191,CLI007356,Crédito,Visa,Clásica,119107.89,Activa,2024-12-05
TAR007352,CLI002952,Débito,American Express,Oro,642862.60,Activa,2017-02-27
TAR005631,CLI001673,Débito,Mastercard,Oro,1190051.97,Activa,2019-03-23
TAR001048,CLI003252,Crédito,American Express,Platino,3876547.70,Inactiva,2020-01-10
TAR000171,CLI003636,Crédito,American Express,Oro,1327707.70,Activa,2023-09-17
TAR001818,CLI005017,Crédito,Visa,Clásica,433525.33,Inactiva,2018-06-06
TAR005797,CLI002940,Crédito,Mastercad,Clásica,377828.34,Activa,2024-08-19
TAR003493,CLI007910,Crédito,Visa,Clásica,409726.78,Activa,2021-10-20
TAR000403,CLI003495,Crédito,American Express,Platino,2726708.74,Activa,2019-06-15
TAR001641,CLI001394,Crédito,American Express,Platino,2486840.20,Activa,2026-02-12
TAR002366,CLI004125,Débito,American Express,Clásica,208363.28,Activa,2023-06-12
TAR004250,CLI004988,Crédito,Mastercard,Oro,896386.18,Activa,2023-11-06
TAR000645,CLI005174,Débito,American Express,Oro,968316.76,Activa,2025-04-11
TAR002168,CLI003435,Débito,American Express,Clásica,481969.39,Activa,2017-03-23
TAR006922,CLI001143,Débito,American Express,Clásica,226286.68,Activa,2020-02-27
