id_alerta,id_transaccion,fecha_alerta,tipo_fraude,nivel_riesgo,estado_alerta,provincia
FRD002831,TRX0021899,2025-08-22 22:54:11,Clonación de Tarjeta,Bajo,Descartado,Limón
FRD004530,TRX0035267,2024-08-15 22:15:15,Phishing,Alto,En Investigación,Alajuela
FRD005263,TRX0044174,2024-07-19 16:37:20,Suplantación de Comercio,Medio,Falso Positivo,Heredia
FRD007093,TRX0014320,2025-05-09 18:08:57,Suplantación de Comercio,Alto,Descartado,heredia
FRD004884,TRX0033638,2026-02-25 10:10:18,Clonación de Tarjeta,Medio,Falso Positivo,Hereda
FRD007898,TRX0039889,2026-03-27 06:44:03,Transacción No Reconocida,Alto,Descartado,Heredia
FRD006833,TRX0012113,2024-09-13 05:10:13,Suplantación de Comercio,Medio,En Investigación, Puntarenas
FRD002332,TRX0011363,2026-05-29 17:34:25,Uso Indebido en el Extranjero,Medio,Descartado, Cartago
FRD001004,TRX0026184,2026-04-02 21:06:39,Phishing,Bajo,Falso Positivo,Guanacaste
FRD000282,TRX0035040,2025-12-08 08:05:18,Uso Indebido en el Extranjero,Bajo,En Investigación,Guanacaste
FRD005256,TRX0043003,2025-09-09 01:56:16,Clonación de Tarjeta,Medio,Descartado,Cartgago
FRD004593,TRX0018896,2025-09-14 16:03:29,Transacción No Reconocida,Medio,En Investigación,Alajuela
FRD001689,TRX0041657,2025-12-11 05:51:58,Phishing,Medio,Descartado,Limón
FRD003290,TRX0024296,2025-05-17 03:47:59,Uso Indebido en el Extranjero,Medio,En Investigación,cartgago
FRD003571,TRX0027000,2025-01-05 03:31:56,Uso Indebido en el Extranjero,Bajo,Confirmado,Limón
FRD006043,TRX0021172,2025-01-26 15:08:36,Transacción No Reconocida,Medio,Confirmado,Hereda
FRD002754,TRX0031185,2025-07-01 01:06:45,Transacción No Reconocida,Medio,Descartado, limón
FRD007768,TRX0002919,2025-12-26 19:27:31,Clonación de Tarjeta,Alto,Confirmado,Hereda
FRD006724,TRX0017045,2026-04-20 20:38:46,Uso Indebido en el Extranjero,Alto,En Investigación,Guanacaste
FRD007121,TRX0045061,2026-02-19 23:47:26,Uso Indebido en el Extranjero,Medio,En Investigación,Heredia
FRD004123,TRX0021665,2024-08-19 06:19:14,Uso Indebido en el Extranjero,Alto,Falso Positivo,Alajuela
FRD002777,TRX0004109,2025-10-25 13:49:05,Robo de Identidad,Alto,Confirmado,Cartgago
FRD001389,TRX0008033,2024-07-27 06:04:23,Suplantación de Comercio,Medio,En Investigación,Cartago
FRD007600,TRX0020283,2025-10-06 15:14:18,Suplantación de Comercio,Bajo,Confirmado,Guanacaste
FRD007842,TRX0029502,2024-11-15 05:26:57,Suplantación de Comercio,Bajo,En Investigación,Puntarenas
FRD004179,TRX0000532,2026-03-03 17:46:22,Suplantación de Comercio,Alto,Confirmado,Cartago
FRD007669,TRX0005919,2024-10-17 08:19:23,Phishing,Bajo,Confirmado,San José
FRD007682,TRX0006108,2026-04-13 07:29:01,Transacción No Reconocida,Medio,En Investigación,Puntarenas
FRD001179,TRX0049234,2025-06-30 03:47:56,Suplantación de Comercio,Medio,Falso Positivo,Guanacaste
FRD000205,TRX0023232,2024-09-24 10:54:19,Robo de Identidad,Alto,Falso Positivo, Guanacaste
FRD004692,TRX0016294,2025-10-02 21:12:44,Suplantación de Comercio,Bajo,Confirmado,Puntarenas
FRD004717,TRX0020351,2024-07-30 11:47:17,Suplantación de Comercio,Bajo,En Investigación,Cartago
FRD005527,TRX0008101,2025-10-07 19:31:34,Transacción No Reconocida,Medio,Descartado,Guanacaste
FRD004707,TRX0018806,2024-11-29 22:59:16,Robo de Identidad,Medio,En Investigación,Guanacaste
FRD002072,TRX0015083,2026-02-02 22:11:11,Transacción No Reconocida,Medio,Confirmado,Puntarenas
FRD006028,TRX0028180,2024-12-01 21:45:39,Transacción No Reconocida,Medio,Descartado,Puntarenas
FRD002809,TRX0013865,2026-05-02 09:48:23,Clonación de Tarjeta,Alto,En Investigación,Cartgago
FRD006306,TRX0010020,2024-12-19 23:10:54,Phishing,Alto,Descartado,Guanacaste
FRD007497,TRX0009602,2024-08-01 18:38:38,Transacción No Reconocida,Medio,Confirmado,Alajuela
FRD000541,TRX0023471,2024-08-15 18:09:54,Robo de Identidad,Alto,Descartado,Hereda
FRD005545,TRX0028010,2025-11-16 22:10:57,Robo de Identidad,Medio,En Investigación,Guanacaste
FRD003392,TRX0003658,2024-12-29 15:31:49,Uso Indebido en el Extranjero,Medio,Confirmado,Alajuela
FRD004287,TRX0036596,2026-04-05 04:45:57,Uso Indebido en el Extranjero,Bajo,En Investigación,Puntarenas
FRD003231,TRX0049068,2025-11-24 06:08:34,Robo de Identidad,Bajo,En Investigación,Cartgago
FRD000170,TRX0022875,2024-10-30 19:07:23,Uso Indebido en el Extranjero,Medio,Falso Positivo,Limón
FRD005010,TRX0009052,2025-05-20 21:32:36,Phishing,Alto,Falso Positivo,San José
FRD001458,TRX0014860,2025-09-22 21:52:21,Clonación de Tarjeta,Medio,Falso Positivo,San José
FRD006025,TRX0034787,2025-12-03 04:50:58,Suplantación de Comercio,Alto,Confirmado,Guanacaste
FRD007201,TRX0019932,2025-04-15 07:31:14,Robo de Identidad,Medio,En Investigación,Limón
FRD004673,TRX0026825,2025-01-02 23:20:40,Uso Indebido en el Extranjero,Bajo,En Investigación,San José
FRD007915,TRX0038493,2026-05-30 23:01:09,Uso Indebido en el Extranjero,Medio,Falso Positivo, Heredia
FRD005474,TRX0015315,2026-04-15 20:53:00,Suplantación de Comercio,Medio,Descartado,Cartgago
FRD007831,TRX0019541,2026-04-28 09:40:08,Suplantación de Comercio,Bajo,En Investigación,Puntarenas
FRD004905,TRX0037927,2025-04-23 01:05:24,Suplantación de Comercio,Medio,Confirmado,Alajuela
FRD003882,TRX0022205,2025-10-22 15:52:55,Clonación de Tarjeta,,Confirmado,Cartago
FRD006560,TRX0002846,2024-10-06 03:48:32,Phishing,Alto,Confirmado, Alajuela
FRD007640,TRX0017561,2026-05-31 22:34:08,Phishing,Alto,Confirmado,Alajuela
FRD000586,TRX0011495,2025-09-17 02:24:45,Transacción No Reconocida,Alto,Confirmado,Puntarenas
FRD005185,TRX0020014,2026-06-06 03:53:35,Suplantación de Comercio,Alto,Descartado,san josé
FRD007581,TRX0011936,2026-02-26 03:41:02,Robo de Identidad,Bajo,Confirmado,SAN JOSE
FRD000910,TRX0005590,2025-11-19 03:56:36,Clonación de Tarjeta,Alto,Descartado,Puntarenas
FRD000771,TRX0002761,2025-05-08 14:20:37,Robo de Identidad,Alto,En Investigación,Guanacaste
FRD006136,TRX0040809,2026-06-19 18:29:55,Clonación de Tarjeta,Medio,Confirmado,San José
FRD007359,TRX0047237,2026-05-31 12:10:56,Robo de Identidad,Alto,En Investigación,Guanacaste
FRD000740,TRX0039127,2025-07-04 16:49:08,Suplantación de Comercio,Alto,Falso Positivo,Alajuela
FRD001539,TRX0002456,2025-10-07 05:00:46,Suplantación de Comercio,Medio,En Investigación,Puntarenas
FRD006796,TRX0044566,2025-03-20 01:48:03,Transacción No Reconocida,Medio,Confirmado,Alajuela
FRD003689,TRX0044493,2024-10-09 06:24:13,Phishing,Bajo,Descartado,San José
FRD005457,TRX0043503,2026-05-13 18:20:24,Clonación de Tarjeta,Medio,En Investigación, Limón
FRD004049,TRX0042062,2025-08-21 13:00:49,Uso Indebido en el Extranjero,Alto,Descartado,Hereda
FRD001857,TRX0049389,2025-09-27 21:35:11,Suplantación de Comercio,Bajo,Falso Positivo,Alajuela
FRD004989,TRX0008130,2024-10-03 13:13:42,Clonación de Tarjeta,Alto,En Investigación,San José
FRD003321,TRX0034376,2025-03-26 07:42:36,Uso Indebido en el Extranjero,Alto,En Investigación,Cartago
FRD006496,TRX0046227,2026-02-09 16:14:42,Suplantación de Comercio,Alto,En Investigación,Guanacaste
FRD000564,TRX0048228,2026-06-12 11:37:48,Phishing,Alto,Descartado,Limón
FRD004557,TRX0000452,2024-12-25 03:05:27,Suplantación de Comercio,Alto,Confirmado,Heredia
FRD004528,TRX0033440,2024-09-26 00:28:13,Clonación de Tarjeta,Alto,En Investigación,Puntarenas
FRD001222,TRX0036898,2026-01-30 05:52:27,Robo de Identidad,Alto,Falso Positivo,Alajuela
FRD004041,TRX0017256,2026-05-21 13:36:27,Phishing,Bajo,Confirmado,Cartgago
FRD000370,TRX0002622,2025-11-29 21:40:10,Robo de Identidad,Bajo,Falso Positivo,San José
FRD005632,TRX0034841,2024-09-06 22:45:18,Transacción No Reconocida,Bajo,Falso Positivo,Puntarenas
FRD007210,TRX0044556,2026-03-20 18:02:22,Uso Indebido en el Extranjero,Medio,Descartado,Limón
FRD001935,TRX0019276,2026-03-14 09:34:56,Transacción No Reconocida,Medio,Confirmado,Hereda
FRD002281,TRX0028164,2026-04-27 14:18:12,Suplantación de Comercio,Bajo,Falso Positivo,San José
FRD006686,TRX0005841,2024-07-26 05:27:03,Robo de Identidad,Alto,Falso Positivo,Cartgago
FRD004281,TRX0014291,2026-04-14 09:01:50,Transacción No Reconocida,Bajo,Falso Positivo,Alajuela
FRD000651,TRX0030881,2026-01-05 17:32:43,Phishing,Bajo,Confirmado,Alajuela
FRD003559,TRX0015401,2025-04-13 23:21:01,Suplantación de Comercio,Medio,En Investigación,Heredia
FRD003296,TRX0000127,2026-04-26 14:35:13,Phishing,Medio,En Investigación,Alajuela
FRD006627,TRX0007311,2024-12-26 14:18:24,Robo de Identidad,Alto,Confirmado,Limón
FRD001575,TRX0037647,2024-10-24 14:48:38,Phishing,Bajo,Falso Positivo,Cartago
FRD003516,TRX0014834,2025-02-06 20:33:55,Suplantación de Comercio,Medio,En Investigación,Guanacaste
FRD004651,TRX0044886,2025-10-01 05:15:35,Transacción No Reconocida,Bajo,Falso Positivo,Alajuela
FRD002264,TRX0006079,2024-08-31 21:16:49,Clonación de Tarjeta,Bajo,Confirmado,Cartago
FRD004641,TRX0033242,2024-11-19 10:21:45,Suplantación de Comercio,Bajo,En Investigación,Alajuela
FRD000172,TRX0034082,2026-02-26 11:45:08,Suplantación de Comercio,Alto,En Investigación,Alajuela
FRD002371,TRX0025986,2026-01-23 00:44:22,Suplantación de Comercio,Medio,En Investigación,CARTGAGO
FRD003475,TRX0041173,2024-09-07 09:01:18,Phishing,Alto,Descartado,Cartago
FRD002131,TRX0028028,2025-12-13 03:03:36,Uso Indebido en el Extranjero,Bajo,Falso Positivo,Limón
FRD004004,TRX0001387,2026-02-14 23:12:37,Clonación de Tarjeta,Bajo,Confirmado,San José
FRD004191,TRX0006726,2025-08-21 08:49:54,Clonación de Tarjeta,Medio,Falso Positivo,Hereda
FRD007007,TRX0005151,2025-09-24 14:37:44,Clonación de Tarjeta,,Falso Positivo,Alajuela
FRD000717,TRX0001156,2025-10-14 20:36:14,Robo de Identidad,Medio,Confirmado,Limón
FRD006069,TRX0048571,2026-01-31 08:35:17,Uso Indebido en el Extranjero,Alto,Falso Positivo,San José
FRD005304,TRX0000355,2024-11-04 19:24:03,Suplantación de Comercio,Alto,Descartado,Limón
FRD004716,TRX0048776,2024-07-29 16:37:58,Clonación de Tarjeta,Medio,Falso Positivo,Hereda
FRD000027,TRX0014081,2024-09-01 12:21:35,Clonación de Tarjeta,Bajo,Descartado,Guanacaste
FRD007956,TRX0034854,2024-09-18 21:35:01,Phishing,Bajo,En Investigación,Limón
FRD001426,TRX0015313,2024-07-26 17:01:31,Suplantación de Comercio,Bajo,Confirmado,Guanacaste
FRD005399,TRX0003409,2025-08-26 03:06:13,Phishing,Medio,En Investigación,Cartgago
FRD000703,TRX0008518,2025-05-13 01:10:15,Transacción No Reconocida,Medio,Falso Positivo,Limón
FRD000822,TRX0030478,2024-11-29 23:41:46,Clonación de Tarjeta,Medio,En Investigación,Cartago
FRD004578,TRX0005620,2025-01-13 18:37:39,Phishing,Medio,Descartado,San José
FRD003398,TRX0034533,2025-01-09 07:32:05,Clonación de Tarjeta,Medio,En Investigación,Heredia
FRD007274,TRX0033260,2025-03-07 07:05:01,Robo de Identidad,Medio,En Investigación,LIMON
FRD007713,TRX0041945,2024-08-22 20:52:03,Clonación de Tarjeta,Medio,Falso Positivo,Cartgago
FRD002912,TRX0037322,2024-10-08 05:48:02,Transacción No Reconocida,Alto,En Investigación,Alajuela
FRD005012,TRX0037252,2025-02-09 00:58:07,Transacción No Reconocida,Medio,Descartado,Cartago
FRD000827,TRX0045568,2026-03-06 19:52:08,Clonación de Tarjeta,Medio,Confirmado,Guanacaste
FRD002216,TRX0017009,2026-04-08 10:40:26,Clonación de Tarjeta,Bajo,Falso Positivo,Alajuela
FRD001996,TRX0032117,2025-09-04 14:02:57,Uso Indebido en el Extranjero,Alto,Falso Positivo,HEREDIA
FRD006587,TRX0031648,2026-01-23 14:45:41,Suplantación de Comercio,Alto,Falso Positivo,Heredia
FRD002790,TRX0011473,2025-08-25 08:12:54,Uso Indebido en el Extranjero,Alto,Falso Positivo,Heredia
FRD001509,TRX0020061,2026-05-01 03:55:05,Uso Indebido en el Extranjero,Alto,Descartado,Guanacaste
FRD003119,TRX0035469,2026-05-07 17:50:50,Suplantación de Comercio,Medio,Descartado,Hereda
FRD006834,TRX0049271,2026-04-16 23:13:46,Transacción No Reconocida,Medio,Descartado,San José
FRD004939,TRX0040467,2025-10-12 03:47:04,Robo de Identidad,Bajo,Falso Positivo,Puntarenas
FRD003236,TRX0029725,2025-10-11 16:02:07,Transacción No Reconocida,Medio,En Investigación,Guanacaste
FRD001844,TRX0049555,2025-10-10 15:53:06,Suplantación de Comercio,Bajo,Descartado,Cartgago
FRD007458,TRX0027968,2025-11-06 02:47:59,Uso Indebido en el Extranjero,Medio,Confirmado,Cartago
FRD003800,TRX0040874,2025-02-20 08:45:18,Suplantación de Comercio,Medio,En Investigación,Cartago
FRD004854,TRX0018903,2025-08-19 20:41:19,Phishing,Bajo,Falso Positivo,Alajuela
FRD006982,TRX0043854,2025-10-28 18:29:44,Transacción No Reconocida,Alto,Descartado,Alajuela
FRD007031,TRX0043983,2026-01-18 18:07:46,Clonación de Tarjeta,Alto,En Investigación,Puntarenas
FRD003133,TRX0001184,2025-07-13 14:43:00,Suplantación de Comercio,Alto,En Investigación,Cartgago
FRD001081,TRX0045606,2024-11-01 23:24:37,Transacción No Reconocida,Medio,En Investigación,Guanacaste
