transaction_id,card_id,merchant_id,fecha_transaccion,monto,puntos,provincia
TRX0000033,T000122,M0014,2024-01-01,317.73,50,Cartago
TRX0000034,T000366,M0032,2024-01-01,172.3,20,Alajuela
TRX0000035,T000267,M0073,2024-01-01,521.03,83,San José
TRX0000036,T000358,M0002,2024-01-01,1202.2,54,Guanacaste
TRX0000037,T000138,M0053,2024-01-01,1265.56,8,Heredia
TRX0000038,T000045,M0014,2024-01-01,-100.0,84,Puntarenas
TRX0000039,T000302,M0078,2024-01-01,-100.0,93,Alajuela
TRX0000040,T000292,M0032,2024-01-01,282.95,33,San José
TRX0000041,T000079,M0023,2024-01-01,1427.16,24,Puntarenas
TRX0000042,T000181,M0012,2024-01-01,-50.0,13,Limón
TRX0000043,T000270,M0098,2024-01-01,1671.0,96,Alajuela
TRX0000044,T000081,M0069,2024-01-01,-100.0,81,Limón
TRX0000045,T000085,M0046,2024-01-01,-50.0,71,Cartago
TRX0000046,T000322,M0043,2024-01-01,1719.59,53,Heredia
TRX0000047,T000110,M0015,2024-01-01,1195.37,58,Puntarenas
TRX0000048,T000074,M0055,2024-01-01,-100.0,79,San José
TRX0000049,T000228,M0060,2024-01-01,219.44,86,Heredia
TRX0000050,T000100,M0019,2024-01-01,-100.0,72,Puntarenas
TRX0000051,T000224,M0031,2024-01-01,1726.03,49,Limón
TRX0000052,T000367,M0032,2024-01-01,776.12,52,Limón
TRX0000053,T000218,M0090,2024-01-01,503.98,26,Heredia
TRX0000054,T000185,M0099,2024-01-01,30.8,83,Alajuela
TRX0000055,T000034,M0099,2024-01-01,-50.0,56,Alajuela
TRX0000056,T000093,M0030,2024-01-01,935.22,54,Limón
TRX0000057,T000286,M0027,2024-01-01,1925.64,71,Guanacaste
TRX0000058,T000286,M0066,2024-01-01,-50.0,60,Cartago
TRX0000059,T000138,M0083,2024-01-01,200.66,45,Limón
TRX0000060,T000136,M0091,2024-01-01,-100.0,74,Limón
TRX0000061,T000116,M0019,2024-01-01,1201.63,40,Alajuela
TRX0000062,T000158,M0013,2024-01-01,1915.72,68,San José
TRX0000063,T000115,M0048,2024-01-01,861.76,75,Guanacaste
TRX0000064,T000171,M0042,2024-01-01,,97,Guanacaste
TRX0000065,T000288,M0057,2024-01-01,1839.68,96,Limón
TRX0000066,T000174,M0069,2024-01-01,1343.19,5,Limón
TRX0000067,T000358,M0028,2024-01-01,215.14,74,Heredia
TRX0000068,T000073,M0016,2024-01-01,170.57,40,Cartago
TRX0000069,T000310,M0093,2024-01-01,1396.13,3,Alajuela
TRX0000070,T000326,M0034,2024-01-01,744.29,84,Guanacaste
TRX0000071,T000056,M0025,2024-01-01,,26,Heredia
TRX0000072,T000192,M0056,2024-01-01,,58,Guanacaste
TRX0000073,T000176,M0065,2024-01-01,1600.74,51,Cartago
TRX0000074,T000185,M0081,2024-01-01,812.51,55,Alajuela
TRX0000075,T000270,M0042,2024-01-01,1856.74,37,Guanacaste
TRX0000076,T000109,M0060,2024-01-01,266.1,3,Heredia
TRX0000077,T000112,M0062,2024-01-01,-100.0,70,Puntarenas
TRX0000078,T000190,M0082,2024-01-01,515.93,55,Puntarenas
TRX0000079,T000051,M0042,2024-01-01,199.13,87,Puntarenas
TRX0000080,T000288,M0037,2024-01-01,782.31,97,Cartago
TRX0000081,T000019,M0100,2024-01-01,586.53,64,Heredia
TRX0000082,T000068,M0034,2024-01-01,1537.47,95,Heredia
TRX0000083,T000341,M0075,2024-01-01,-50.0,61,Limón
TRX0000084,T000178,M0044,2024-01-01,-50.0,74,San José
TRX0000085,T000041,M0094,2024-01-01,433.51,5,Limón
TRX0000086,T000362,M0074,2024-01-01,215.25,7,Puntarenas
TRX0000087,T000054,M0038,2024-01-01,948.95,10,Puntarenas
TRX0000088,T000008,M0031,2024-01-01,1466.86,18,Cartago
TRX0000089,T000328,M0017,2024-01-01,-100.0,9,San José
TRX0000090,T000382,M0010,2024-01-01,-100.0,58,Alajuela
TRX0000091,T000399,M0037,2024-01-01,1982.23,73,San José
TRX0000092,T000167,M0040,2024-01-01,1451.38,43,Limón
TRX0000093,T000284,M0086,2024-01-01,1001.79,86,Heredia
TRX0000094,T000148,M0087,2024-01-01,1995.17,94,Puntarenas
TRX0000095,T000321,M0087,2024-01-01,1340.5,95,San José
TRX0000096,T000350,M0070,2024-01-01,1507.29,72,Alajuela
TRX0000097,T000244,M0008,2024-01-01,-50.0,87,Limón
TRX0000098,T000003,M0033,2024-01-01,206.96,49,San José
TRX0000099,T000283,M0091,2024-01-01,,28,Guanacaste
TRX0000100,T000114,M0017,2024-01-01,-50.0,68,Puntarenas
TRX0000101,T000149,M0060,2024-01-01,213.26,73,Guanacaste
TRX0000102,T000223,M0005,2024-01-01,1718.54,70,Cartago
TRX0000103,T000193,M0094,2024-01-01,572.47,100,Guanacaste
TRX0000104,T000229,M0095,2024-01-01,-50.0,58,Guanacaste
TRX0000105,T000008,M0068,2024-01-01,1678.9,37,Heredia
TRX0000106,T000013,M0092,2024-01-01,-100.0,88,Puntarenas
TRX0000107,T000355,M0009,2024-01-01,1421.46,29,Guanacaste
TRX0000108,T000219,M0032,2024-01-01,1694.93,56,Limón
TRX0000109,T000119,M0008,2024-01-01,-100.0,60,Limón
TRX0000110,T000303,M0033,2024-01-01,,36,Limón
TRX0000111,T000238,M0050,2024-01-01,,67,Alajuela
TRX0000112,T000137,M0082,2024-01-01,1146.57,82,Guanacaste
TRX0000113,T000207,M0023,2024-01-01,,38,Heredia
TRX0000114,T000036,M0069,2024-01-01,1197.67,57,Limón
TRX0000115,T000169,M0008,2024-01-01,-100.0,78,Limón
TRX0000116,T000345,M0007,2024-01-01,35.7,17,Limón
TRX0000117,T000124,M0069,2024-01-01,921.69,35,Limón
TRX0000118,T000137,M0051,2024-01-01,-100.0,91,Alajuela
TRX0000119,T000026,M0023,2024-01-01,1721.28,20,Cartago
TRX0000120,T000091,M0068,2024-01-01,16.73,53,Limón
TRX0000121,T000174,M0093,2024-01-01,-50.0,19,Guanacaste
TRX0000122,T000005,M0002,2024-01-01,124.29,24,Alajuela
TRX0000123,T000215,M0027,2024-01-01,1017.39,10,Cartago
TRX0000124,T000160,M0010,2024-01-01,865.03,21,Guanacaste
TRX0000125,T000185,M0088,2024-01-01,-100.0,49,Guanacaste
TRX0000126,T000352,M0051,2024-01-01,1519.74,9,Heredia
TRX0000127,T000230,M0097,2024-01-01,-50.0,40,Puntarenas
TRX0000128,T000106,M0080,2024-01-01,-100.0,41,Alajuela
TRX0000129,T000173,M0071,2024-01-01,888.76,24,Heredia
TRX0000130,T000200,M0034,2024-01-01,1660.75,59,Heredia
TRX0000131,T000182,M0004,2024-01-01,-100.0,39,Heredia
TRX0000132,T000330,M0077,2024-01-01,-50.0,96,Alajuela
TRX0000133,T000272,M0039,2024-01-01,1583.93,45,Alajuela
TRX0000134,T000089,M0051,2024-01-01,1455.77,99,Heredia
TRX0000135,T000121,M0046,2024-01-01,107.8,65,Guanacaste
TRX0000136,T000149,M0010,2024-01-01,,15,Alajuela
TRX0000137,T000050,M0049,2024-01-01,,30,Puntarenas
TRX0000138,T000031,M0007,2024-01-01,-100.0,16,Limón
TRX0000139,T000053,M0030,2024-01-01,-50.0,66,Limón
TRX0000140,T000241,M0027,2024-01-01,1969.36,35,Cartago
TRX0000141,T000345,M0096,2024-01-01,,23,San José
TRX0000142,T000361,M0096,2024-01-01,,10,Alajuela
TRX0000143,T000250,M0043,2024-01-01,,1,San José
TRX0000144,T000214,M0030,2024-01-01,526.09,79,San José
TRX0000145,T000103,M0076,2024-01-01,-50.0,34,Heredia
TRX0000146,T000338,M0017,2024-01-01,1353.04,16,Heredia
TRX0000147,T000012,M0050,2024-01-01,515.98,31,Guanacaste
TRX0000148,T000397,M0028,2024-01-01,-50.0,71,San José
TRX0000149,T000002,M0052,2024-01-01,11.84,71,Puntarenas
TRX0000150,T000191,M0019,2024-01-01,1514.44,98,Puntarenas
TRX0000151,T000155,M0087,2024-01-01,-100.0,85,Puntarenas
TRX0000152,T000325,M0046,2024-01-01,1098.17,88,Heredia
TRX0000153,T000026,M0051,2024-01-01,,62,Puntarenas
TRX0000154,T000140,M0072,2024-01-01,-100.0,16,Cartago
TRX0000155,T000201,M0076,2024-01-01,454.24,26,San José
TRX0000156,T000304,M0058,2024-01-01,1615.38,13,San José
TRX0000157,T000138,M0041,2024-01-01,,79,Limón
TRX0000158,T000020,M0063,2024-01-01,-100.0,20,San José
TRX0000159,T000030,M0080,2024-01-01,688.5,51,Limón
TRX0000160,T000232,M0095,2024-01-01,636.79,85,Guanacaste
TRX0000161,T000214,M0100,2024-01-01,-100.0,45,Alajuela
TRX0000162,T000076,M0090,2024-01-01,21.84,28,Limón
TRX0000163,T000241,M0070,2024-01-01,-50.0,34,Alajuela
TRX0000164,T000202,M0031,2024-01-01,1674.68,10,San José
TRX0000165,T000185,M0091,2024-01-01,1276.51,30,Alajuela
TRX0000166,T000256,M0012,2024-01-01,1251.63,78,Heredia
TRX0000167,T000175,M0021,2024-01-01,1389.75,4,Puntarenas
TRX0000168,T000078,M0072,2024-01-01,1458.67,2,San José
TRX0000169,T000362,M0037,2024-01-01,-100.0,28,Cartago
TRX0000170,T000117,M0023,2024-01-01,256.7,36,Limón
TRX0000171,T000257,M0005,2024-01-01,325.78,15,Limón
TRX0000172,T000256,M0003,2024-01-01,-100.0,67,Limón
TRX0000173,T000080,M0005,2024-01-01,149.12,9,Limón
TRX0000174,T000332,M0051,2024-01-01,583.46,84,Alajuela
TRX0000175,T000098,M0059,2024-01-01,1161.34,44,Heredia
TRX0000176,T000074,M0094,2024-01-01,,41,Puntarenas
TRX0000177,T000351,M0092,2024-01-01,-100.0,65,Heredia
TRX0000178,T000116,M0098,2024-01-01,1615.42,99,Heredia
TRX0000179,T000237,M0097,2024-01-01,,9,Alajuela
TRX0000180,T000011,M0094,2024-01-01,-50.0,34,Puntarenas
TRX0000181,T000252,M0004,2024-01-01,-50.0,24,Heredia
TRX0000182,T000034,M0052,2024-01-01,717.05,27,Guanacaste
TRX0000183,T000377,M0084,2024-01-01,1354.58,82,Limón
TRX0000184,T000067,M0073,2024-01-01,-100.0,20,Alajuela
TRX0000185,T000156,M0100,2024-01-01,-100.0,23,Limón
TRX0000186,T000286,M0080,2024-01-01,1993.97,98,Alajuela
TRX0000187,T000339,M0081,2024-01-01,1604.33,52,Alajuela
TRX0000188,T000248,M0037,2024-01-01,-100.0,57,Alajuela
TRX0000189,T000202,M0022,2024-01-01,1997.96,9,Puntarenas
TRX0000190,T000147,M0036,2024-01-01,-50.0,78,Heredia
TRX0000191,T000276,M0035,2024-01-01,-100.0,70,Cartago
TRX0000192,T000398,M0090,2024-01-01,24.9,92,Puntarenas
TRX0000193,T000242,M0018,2024-01-01,-50.0,8,Limón
TRX0000194,T000228,M0041,2024-01-01,-100.0,41,Cartago
TRX0000195,T000061,M0075,2024-01-01,790.38,25,Cartago
TRX0000196,T000049,M0046,2024-01-01,153.06,83,Puntarenas
TRX0000197,T000079,M0065,2024-01-01,1862.51,81,San José
TRX0000198,T000265,M0007,2024-01-01,1931.16,99,Alajuela
TRX0000199,T000110,M0091,2024-01-01,-50.0,46,Alajuela
TRX0000200,T000175,M0097,2024-01-01,1693.69,45,Cartago
TRX0000201,T000076,M0049,2024-01-01,-100.0,57,Puntarenas
TRX0000202,T000252,M0030,2024-01-01,,62,Guanacaste
TRX0000203,T000061,M0049,2024-01-01,1667.1,16,Guanacaste
TRX0000204,T000023,M0005,2024-01-01,1796.48,52,Alajuela
TRX0000205,T000183,M0077,2024-01-01,1563.3,29,Cartago
TRX0000206,T000276,M0081,2024-01-01,339.85,86,Cartago
TRX0000207,T000003,M0092,2024-01-01,1217.95,22,Alajuela
TRX0000208,T000281,M0094,2024-01-01,894.76,88,Cartago
TRX0000209,T000130,M0025,2024-01-01,1462.98,59,Limón
TRX0000210,T000198,M0057,2024-01-01,-50.0,19,Limón
TRX0000211,T000111,M0037,2024-01-01,509.79,30,Limón
TRX0000212,T000181,M0063,2024-01-01,-100.0,20,Heredia
TRX0000213,T000309,M0094,2024-01-01,1160.99,44,Alajuela
TRX0000214,T000269,M0058,2024-01-01,1360.68,32,Cartago
TRX0000215,T000159,M0072,2024-01-01,-100.0,79,Guanacaste
TRX0000216,T000141,M0082,2024-01-01,-100.0,27,Guanacaste
TRX0000217,T000118,M0095,2024-01-01,1037.53,96,Alajuela
TRX0000218,T000334,M0069,2024-01-01,,89,San José
TRX0000219,T000152,M0010,2024-01-01,,5,Heredia
TRX0000220,T000351,M0078,2024-01-01,-50.0,12,Puntarenas
TRX0000221,T000332,M0023,2024-01-01,-50.0,39,Cartago
TRX0000222,T000018,M0050,2024-01-01,-100.0,87,Puntarenas
TRX0000223,T000041,M0096,2024-01-01,1078.81,98,Cartago
TRX0000224,T000099,M0023,2024-01-01,1851.88,99,Cartago
TRX0000225,T000233,M0055,2024-01-01,-50.0,63,Guanacaste
TRX0000226,T000266,M0048,2024-01-01,-50.0,34,Alajuela
TRX0000227,T000354,M0094,2024-01-01,183.52,41,Puntarenas
TRX0000228,T000022,M0060,2024-01-01,1101.15,25,Puntarenas
TRX0000229,T000017,M0043,2024-01-01,-100.0,22,San José
TRX0000230,T000067,M0013,2024-01-01,,6,San José
TRX0000231,T000006,M0057,2024-01-01,,51,San José
TRX0000232,T000018,M0015,2024-01-01,1280.81,21,Guanacaste
TRX0000233,T000076,M0009,2024-01-01,-100.0,40,Limón
TRX0000234,T000097,M0070,2024-01-01,1227.5,59,Cartago
TRX0000235,T000391,M0048,2024-01-01,320.0,49,Limón
TRX0000236,T000188,M0096,2024-01-01,775.55,58,Limón
TRX0000237,T000057,M0020,2024-01-01,-100.0,26,Cartago
TRX0000238,T000346,M0053,2024-01-01,509.41,91,Puntarenas
TRX0000239,T000155,M0049,2024-01-01,-50.0,46,Limón
TRX0000240,T000374,M0036,2024-01-01,-50.0,34,Guanacaste
TRX0000241,T000201,M0082,2024-01-01,1426.16,29,Guanacaste
TRX0000242,T000028,M0032,2024-01-01,415.47,60,Cartago
TRX0000243,T000335,M0027,2024-01-01,1176.9,97,Cartago
TRX0000244,T000353,M0037,2024-01-01,1704.95,67,Heredia
TRX0000245,T000065,M0031,2024-01-01,1879.01,96,Alajuela
TRX0000246,T000302,M0045,2024-01-01,,26,Puntarenas
TRX0000247,T000315,M0089,2024-01-01,1657.53,4,Guanacaste
TRX0000248,T000001,M0035,2024-01-01,,18,Guanacaste
TRX0000249,T000263,M0003,2024-01-01,270.74,89,San José
TRX0000250,T000286,M0014,2024-01-01,1815.45,60,Cartago
TRX0000251,T000399,M0043,2024-01-01,,75,Puntarenas
TRX0000252,T000308,M0063,2024-01-01,620.94,90,San José
TRX0000253,T000229,M0082,2024-01-01,-50.0,25,Puntarenas
TRX0000254,T000296,M0072,2024-01-01,1671.38,4,Guanacaste
TRX0000255,T000144,M0028,2024-01-01,1451.51,58,Alajuela
TRX0000256,T000392,M0081,2024-01-01,549.95,94,Heredia
TRX0000257,T000262,M0015,2024-01-01,-100.0,47,Limón
TRX0000258,T000278,M0009,2024-01-01,1619.33,2,Cartago
TRX0000259,T000377,M0058,2024-01-01,-100.0,22,Cartago
TRX0000260,T000049,M0048,2024-01-01,333.79,90,Alajuela
TRX0000261,T000229,M0036,2024-01-01,1357.27,72,San José
TRX0000262,T000176,M0050,2024-01-01,1557.24,87,Cartago
TRX0000263,T000373,M0086,2024-01-01,-100.0,70,Puntarenas
TRX0000264,T000239,M0043,2024-01-01,318.74,56,Limón
TRX0000265,T000379,M0094,2024-01-01,1423.11,73,Alajuela
TRX0000266,T000042,M0060,2024-01-01,441.12,70,Alajuela
TRX0000267,T000315,M0028,2024-01-01,275.56,36,Cartago
TRX0000268,T000002,M0086,2024-01-01,,43,Puntarenas
TRX0000269,T000303,M0082,2024-01-01,185.84,74,Heredia
TRX0000270,T000283,M0044,2024-01-01,-100.0,56,San José
TRX0000271,T000293,M0045,2024-01-01,334.95,61,Limón
TRX0000272,T000205,M0049,2024-01-01,-100.0,48,Puntarenas
TRX0000273,T000255,M0037,2024-01-01,723.25,62,Limón
TRX0000274,T000333,M0019,2024-01-01,-100.0,20,San José
TRX0000275,T000050,M0090,2024-01-01,-100.0,4,Limón
TRX0000276,T000312,M0049,2024-01-01,77.02,30,Puntarenas
TRX0000277,T000064,M0068,2024-01-01,,21,San José
TRX0000278,T000389,M0010,2024-01-01,750.8,56,Alajuela
TRX0000279,T000143,M0017,2024-01-01,1290.24,87,Alajuela
TRX0000280,T000306,M0015,2024-01-01,1419.46,2,Alajuela
TRX0000281,T000387,M0048,2024-01-01,,99,San José
TRX0000282,T000090,M0026,2024-01-01,1300.93,61,Guanacaste
TRX0000283,T000251,M0055,2024-01-01,1389.37,80,Heredia
TRX0000284,T000093,M0097,2024-01-01,-50.0,98,Guanacaste
TRX0000285,T000399,M0073,2024-01-01,-50.0,18,San José
TRX0000286,T000266,M0008,2024-01-01,-50.0,36,San José
TRX0000287,T000246,M0029,2024-01-01,1001.01,83,San José
TRX0000288,T000399,M0088,2024-01-01,1066.56,33,San José
TRX0000289,T000153,M0059,2024-01-01,770.84,23,Limón
TRX0000290,T000184,M0072,2024-01-01,961.72,8,Heredia
TRX0000291,T000386,M0029,2024-01-01,850.2,21,Guanacaste
TRX0000292,T000194,M0099,2024-01-01,113.58,40,Cartago
TRX0000293,T000298,M0017,2024-01-01,1629.47,8,Alajuela
TRX0000294,T000379,M0077,2024-01-01,-100.0,5,Limón
TRX0000295,T000248,M0069,2024-01-01,-50.0,62,Alajuela
TRX0000296,T000168,M0001,2024-01-01,,87,Heredia
TRX0000297,T000319,M0080,2024-01-01,-100.0,95,Guanacaste
TRX0000298,T000351,M0038,2024-01-01,1911.16,77,Heredia
TRX0000299,T000235,M0020,2024-01-01,,38,Puntarenas
TRX0000300,T000035,M0030,2024-01-01,1674.83,53,San José
TRX0000301,T000036,M0080,2024-01-01,-50.0,39,Cartago
TRX0000302,T000080,M0029,2024-01-01,1547.04,42,Puntarenas
TRX0000303,T000288,M0093,2024-01-01,1532.47,76,Heredia
TRX0000304,T000102,M0087,2024-01-01,953.44,28,Cartago
TRX0000305,T000392,M0084,2024-01-01,-50.0,11,Alajuela
TRX0000306,T000050,M0075,2024-01-01,322.16,91,Guanacaste
TRX0000307,T000305,M0074,2024-01-01,-100.0,45,Guanacaste
TRX0000308,T000093,M0074,2024-01-01,-50.0,59,Heredia
TRX0000309,T000085,M0097,2024-01-01,1515.42,36,San José
TRX0000310,T000321,M0040,2024-01-01,164.15,85,Cartago
TRX0000311,T000244,M0007,2024-01-01,,23,Cartago
TRX0000312,T000345,M0088,2024-01-01,1207.14,24,Cartago
TRX0000313,T000101,M0090,2024-01-01,1609.53,24,Guanacaste
TRX0000314,T000118,M0038,2024-01-01,-50.0,77,San José
TRX0000315,T000103,M0066,2024-01-01,184.94,41,Heredia
TRX0000316,T000365,M0009,2024-01-01,397.27,27,Guanacaste
TRX0000317,T000032,M0039,2024-01-01,1338.89,19,Alajuela
TRX0000318,T000011,M0051,2024-01-01,1419.74,42,Limón
TRX0000319,T000212,M0088,2024-01-01,-100.0,10,Heredia
TRX0000320,T000293,M0056,2024-01-01,953.43,35,Guanacaste
TRX0000321,T000354,M0087,2024-01-01,639.17,15,Cartago
TRX0000322,T000251,M0074,2024-01-01,985.52,64,Limón
TRX0000323,T000317,M0041,2024-01-01,1384.5,55,Heredia
TRX0000324,T000261,M0076,2024-01-01,560.04,76,Puntarenas
TRX0000325,T000187,M0028,2024-01-01,1696.22,17,Cartago
TRX0000326,T000221,M0016,2024-01-01,-50.0,78,Puntarenas
TRX0000327,T000377,M0027,2024-01-01,-100.0,42,Cartago
TRX0000328,T000246,M0095,2024-01-01,-100.0,63,Limón
TRX0000329,T000036,M0027,2024-01-01,1600.76,4,Alajuela
TRX0000330,T000235,M0021,2024-01-01,-50.0,25,Limón
TRX0000331,T000345,M0077,2024-01-01,1211.12,96,Heredia
TRX0000332,T000342,M0024,2024-01-01,,73,San José
TRX0000333,T000391,M0100,2024-01-01,748.59,84,Guanacaste
TRX0000334,T000231,M0084,2024-01-01,-100.0,85,Puntarenas
TRX0000335,T000058,M0046,2024-01-01,-100.0,12,Puntarenas
TRX0000336,T000178,M0078,2024-01-01,228.84,77,Cartago
TRX0000337,T000032,M0088,2024-01-01,-100.0,70,Cartago
TRX0000338,T000170,M0011,2024-01-01,1704.13,61,Limón
TRX0000339,T000190,M0089,2024-01-01,1411.45,63,Cartago
TRX0000340,T000383,M0056,2024-01-01,1383.17,2,Heredia
TRX0000341,T000389,M0035,2024-01-01,-50.0,44,Puntarenas
TRX0000342,T000315,M0085,2024-01-01,453.26,64,Guanacaste
TRX0000343,T000282,M0076,2024-01-01,800.47,63,Limón
TRX0000344,T000008,M0092,2024-01-01,-50.0,6,Alajuela
TRX0000345,T000199,M0100,2024-01-01,-50.0,15,San José
TRX0000346,T000303,M0076,2024-01-01,-100.0,38,Alajuela
TRX0000347,T000244,M0087,2024-01-01,1586.43,62,Guanacaste
TRX0000348,T000358,M0040,2024-01-01,875.1,65,Limón
TRX0000349,T000255,M0061,2024-01-01,-50.0,47,San José
TRX0000350,T000157,M0065,2024-01-01,166.54,68,Puntarenas
TRX0000351,T000016,M0078,2024-01-01,-50.0,27,Alajuela
TRX0000352,T000086,M0031,2024-01-01,,6,Limón
TRX0000353,T000334,M0048,2024-01-01,1822.3,54,Puntarenas
TRX0000354,T000320,M0091,2024-01-01,-50.0,66,Puntarenas
TRX0000355,T000265,M0091,2024-01-01,-100.0,62,Puntarenas
TRX0000356,T000068,M0024,2024-01-01,1468.11,6,Heredia
TRX0000357,T000180,M0044,2024-01-01,1605.49,93,San José
TRX0000358,T000269,M0066,2024-01-01,1138.24,14,San José
TRX0000359,T000305,M0066,2024-01-01,595.06,13,San José
TRX0000360,T000016,M0097,2024-01-01,,67,Guanacaste
TRX0000361,T000103,M0016,2024-01-01,694.29,82,Heredia
TRX0000362,T000323,M0095,2024-01-01,,41,Limón
TRX0000363,T000020,M0047,2024-01-01,610.58,23,Puntarenas
TRX0000364,T000067,M0020,2024-01-01,1399.61,50,Limón
TRX0000365,T000091,M0047,2024-01-01,79.69,67,San José
TRX0000366,T000001,M0087,2024-01-01,1150.55,15,Cartago
TRX0000367,T000184,M0007,2024-01-01,698.0,63,Heredia
TRX0000368,T000003,M0097,2024-01-01,-50.0,8,Puntarenas
TRX0000369,T000326,M0070,2024-01-01,-50.0,62,Heredia
TRX0000370,T000176,M0063,2024-01-01,1373.55,26,Puntarenas
TRX0000371,T000303,M0048,2024-01-01,1260.12,14,Puntarenas
TRX0000372,T000093,M0084,2024-01-01,-100.0,82,Guanacaste
TRX0000373,T000048,M0017,2024-01-01,27.42,29,Puntarenas
TRX0000374,T000387,M0032,2024-01-01,,24,Alajuela
TRX0000375,T000027,M0081,2024-01-01,,35,Limón
TRX0000376,T000287,M0036,2024-01-01,,99,Puntarenas
TRX0000377,T000069,M0032,2024-01-01,1342.67,5,Puntarenas
TRX0000378,T000024,M0069,2024-01-01,1118.65,87,San José
TRX0000379,T000252,M0044,2024-01-01,1974.82,68,Alajuela
TRX0000380,T000015,M0098,2024-01-01,47.04,18,Puntarenas
TRX0000381,T000045,M0091,2024-01-01,944.7,68,Guanacaste
TRX0000382,T000388,M0033,2024-01-01,75.03,60,Guanacaste
TRX0000383,T000110,M0018,2024-01-01,764.34,67,Alajuela
TRX0000384,T000360,M0090,2024-01-01,-50.0,38,Guanacaste
TRX0000385,T000072,M0083,2024-01-01,1277.72,67,Limón
TRX0000386,T000183,M0075,2024-01-01,1432.77,32,Alajuela
TRX0000387,T000331,M0049,2024-01-01,602.1,57,San José
TRX0000388,T000340,M0065,2024-01-01,,72,Limón
TRX0000389,T000353,M0072,2024-01-01,-50.0,67,Heredia
TRX0000390,T000292,M0052,2024-01-01,1855.55,62,Guanacaste
TRX0000391,T000325,M0027,2024-01-01,,22,Guanacaste
TRX0000392,T000235,M0080,2024-01-01,614.02,61,Puntarenas
TRX0000393,T000187,M0083,2024-01-01,1348.74,36,Cartago
TRX0000394,T000151,M0041,2024-01-01,1019.9,19,Limón
TRX0000395,T000239,M0002,2024-01-01,1860.88,73,San José
TRX0000396,T000308,M0026,2024-01-01,1392.8,18,Limón
TRX0000397,T000147,M0004,2024-01-01,1669.63,48,San José
TRX0000398,T000079,M0089,2024-01-01,,22,Puntarenas
TRX0000399,T000222,M0033,2024-01-01,379.27,41,San José
TRX0000400,T000085,M0016,2024-01-01,374.88,48,Alajuela
TRX0000401,T000329,M0073,2024-01-01,-100.0,63,Puntarenas
TRX0000402,T000398,M0080,2024-01-01,-100.0,64,Cartago
TRX0000403,T000046,M0034,2024-01-01,322.29,92,Alajuela
TRX0000404,T000377,M0093,2024-01-01,1668.82,61,San José
TRX0000405,T000176,M0090,2024-01-01,302.55,33,Alajuela
TRX0000406,T000255,M0086,2024-01-01,1591.63,70,Puntarenas
TRX0000407,T000380,M0042,2024-01-01,,61,Guanacaste
TRX0000408,T000319,M0023,2024-01-01,,81,Puntarenas
TRX0000409,T000158,M0027,2024-01-01,,13,San José
TRX0000410,T000071,M0066,2024-01-01,,97,Cartago
TRX0000411,T000050,M0073,2024-01-01,-50.0,10,Puntarenas
TRX0000412,T000155,M0011,2024-01-01,882.05,44,Alajuela
TRX0000413,T000107,M0001,2024-01-01,-50.0,14,Limón
TRX0000414,T000219,M0096,2024-01-01,-50.0,78,Puntarenas
